,importance
total_requests,0.18154304820341086
flow_iat_mean,0.14765940384564236
unique_url_ratio,0.11605899468517303
flow_iat_std,0.09208167089469098
pkt_len_max,0.08999273481555757
flow_duration,0.0838459532490942
tot_pkts,0.06912312121388275
flow_iat_max,0.0633211586783062
pkt_len_var,0.04940367790398434
unique_agent_ratio,0.02892158668232102
pkt_len_std,0.019436688997721285
pkt_len_mean,0.016433013795891363
size_std,0.014489421284555203
size_mean,0.01437290828077861
ratio_200,0.006375525954345297
ratio_302,0.004013061586427326
flow_iat_min,0.001874071481888502
ratio_404,0.0010539584463291278
pkt_len_min,0.0
ratio_500,0.0
