model,tool,app,N,recall
A_network_only,nikto,dvwa,40,1.0
A_network_only,nikto,gruyere,54,1.0
A_network_only,nikto,mutillidae,54,1.0
A_network_only,nikto,webgoat,36,1.0
A_network_only,wapiti,dvwa,1,1.0
A_network_only,wapiti,gruyere,7,1.0
A_network_only,wapiti,mutillidae,1,1.0
A_network_only,zap,dvwa,3,1.0
A_network_only,zap,gruyere,41,1.0
A_network_only,zap,mutillidae,33,1.0
A_network_only,zap,webgoat,442,1.0
B_http_only,nikto,dvwa,6,1.0
B_http_only,nikto,gruyere,18,1.0
B_http_only,nikto,mutillidae,5,1.0
B_http_only,nikto,webgoat,8,1.0
B_http_only,wapiti,gruyere,2,1.0
B_http_only,wapiti,mutillidae,1,1.0
B_http_only,wapiti,webgoat,1,1.0
B_http_only,zap,dvwa,2,1.0
B_http_only,zap,mutillidae,5,1.0
B_http_only,zap,webgoat,19,1.0
C_hybrid,nikto,dvwa,6,1.0
C_hybrid,nikto,gruyere,18,1.0
C_hybrid,nikto,mutillidae,5,1.0
C_hybrid,nikto,webgoat,8,1.0
C_hybrid,wapiti,gruyere,2,1.0
C_hybrid,wapiti,mutillidae,1,1.0
C_hybrid,wapiti,webgoat,1,1.0
C_hybrid,zap,dvwa,2,1.0
C_hybrid,zap,mutillidae,5,1.0
C_hybrid,zap,webgoat,19,1.0
