algoritam,tool,app,N,recall
RF,nikto,dvwa,6,1.0
RF,nikto,gruyere,18,1.0
RF,nikto,mutillidae,5,1.0
RF,nikto,webgoat,8,1.0
RF,wapiti,gruyere,2,1.0
RF,wapiti,mutillidae,1,1.0
RF,wapiti,webgoat,1,1.0
RF,zap,dvwa,2,1.0
RF,zap,mutillidae,5,1.0
RF,zap,webgoat,19,1.0
KNN,nikto,dvwa,6,1.0
KNN,nikto,gruyere,18,1.0
KNN,nikto,mutillidae,5,1.0
KNN,nikto,webgoat,8,1.0
KNN,wapiti,gruyere,2,1.0
KNN,wapiti,mutillidae,1,1.0
KNN,wapiti,webgoat,1,1.0
KNN,zap,dvwa,2,1.0
KNN,zap,mutillidae,5,0.8
KNN,zap,webgoat,19,1.0
SVM,nikto,dvwa,6,1.0
SVM,nikto,gruyere,18,0.8333333333333334
SVM,nikto,mutillidae,5,1.0
SVM,nikto,webgoat,8,1.0
SVM,wapiti,gruyere,2,1.0
SVM,wapiti,mutillidae,1,1.0
SVM,wapiti,webgoat,1,1.0
SVM,zap,dvwa,2,1.0
SVM,zap,mutillidae,5,1.0
SVM,zap,webgoat,19,1.0
